Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"MM Bengtsson","Bacterial biofilms on the kelp Laminaria hyperborea",2011,"","bora.uib.no","https://bora.uib.no/bora-xmlui/handle/1956/4610","https://scholar.google.com/scholar?cites=15801369424239201517&as_sdt=2005&sciodt=2007&hl=en",93,"2024-02-07 13:53:53","BOOK","","","",,,,,4,0.31,4,1,13,"This thesis deals with bacterial communities in biofilms on the surfaces of the kelp Laminaria hyperborea and their roles in carbon cycling. Kelp forests are characterized by high …","https://bora.uib.no/bora-xmlui/bitstream/handle/1956/4610/Dr.thesis_M_Bengtsson.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:7Qx_qMW9SdsJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
1,"E Allen","Biogas production from novel substrates",2015,"","cora.ucc.ie","https://cora.ucc.ie/handle/10468/2133","https://scholar.google.com/scholar?cites=930925817788775388&as_sdt=2005&sciodt=2007&hl=en",94,"2024-02-07 13:53:53","","","","",,,,,1,0.11,1,1,9,"… Potential feedstocks which best meet these requirements include for Grass silage, Milk processing waste (MPW) and Saccharina latissima. MPW has a potential of meeting over 6 times …","https://cora.ucc.ie/bitstream/handle/10468/2133/Final%20Biogas%20production%20from%20Novel%20Substrates%20Thesis%20Cora.pdf;sequence=2","https://scholar.google.com/scholar?q=related:3DuKWRlQ6wwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
132,"OM Lage, J Bondoso","Planctomycetes diversity associated with macroalgae",2011,"FEMS microbiology ecology","academic.oup.com","https://academic.oup.com/femsec/article-abstract/78/2/366/606200","https://scholar.google.com/scholar?cites=16309377437129092393&as_sdt=2005&sciodt=2007&hl=en",95,"2024-02-07 13:53:53","","","","",,,,,132,10.15,66,2,13,"Planctomycetes associated with 12 macroalgae from the north coast of Portugal were isolated, using an improved method. A total of 138 isolates were found to comprise 10 operational …","https://academic.oup.com/femsec/article/78/2/366/606200","https://scholar.google.com/scholar?q=related:Ka3ZR16MVuIJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
260,"J Hollants, F Leliaert, O De Clerck…","What we can learn from sushi: a review on seaweed–bacterial associations",2013,"FEMS microbiology …","academic.oup.com","https://academic.oup.com/femsec/article-abstract/83/1/1/464558","https://scholar.google.com/scholar?cites=8422533317592358689&as_sdt=2005&sciodt=2007&hl=en",96,"2024-02-07 13:53:53","","","","",,,,,260,23.64,65,4,11,"Many eukaryotes are closely associated with bacteria which enable them to expand their physiological capacities. Associations between algae (photosynthetic eukaryotes) and bacteria …","https://academic.oup.com/femsec/article-pdf/83/1/1/18131086/83-1-1.pdf","https://scholar.google.com/scholar?q=related:IR_8h23Z4nQJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
53,"R Trias, A García-Lledó, N Sánchez…","Abundance and composition of epiphytic bacterial and archaeal ammonia oxidizers of marine red and brown macroalgae",2012,"Applied and …","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/aem.05904-11","https://scholar.google.com/scholar?cites=16140087286573263343&as_sdt=2005&sciodt=2007&hl=en",97,"2024-02-07 13:53:53","","10.1128/aem.05904-11","","",,,,,53,4.42,13,4,12,"Ammonia-oxidizing bacteria (AOB) and archaea (AOA) are important for nitrogen cycling in marine ecosystems. Little is known about the diversity and abundance of these organisms on …","https://journals.asm.org/doi/pdf/10.1128/AEM.05904-11","https://scholar.google.com/scholar?q=related:72n_j98b_d8J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
11,"J Gimpel, C Ravanal, O Salazar, ME Lienqueo","Saccharification of brown macroalgae using an arsenal of recombinant alginate lyases: potential application in the biorefinery process",2018,"","jmb.or.kr","https://www.jmb.or.kr/journal/view.html?uid=5065&vmd=Full","https://scholar.google.com/scholar?cites=6634330289467121040&as_sdt=2005&sciodt=2007&hl=en",98,"2024-02-07 13:53:53","HTML","","","",,,,,11,1.83,3,4,6,"Alginate lyases (endo and exo-lyases) are required for the degradation of alginate into its constituting monomers. Efficient bioethanol production and extraction of bioactives from brown …","https://www.jmb.or.kr/journal/view.html?uid=5065&vmd=Full","https://scholar.google.com/scholar?q=related:kF1Ngj_gEVwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
177,"M Martin, D Portetelle, G Michel…","Microorganisms living on macroalgae: diversity, interactions, and biotechnological applications",2014,"Applied microbiology and …","Springer","https://link.springer.com/article/10.1007/s00253-014-5557-2","https://scholar.google.com/scholar?cites=12714160207295286655&as_sdt=2005&sciodt=2007&hl=en",99,"2024-02-07 13:53:53","HTML","10.1007/s00253-014-5557-2","","",,,,,177,17.70,44,4,10,"Marine microorganisms play key roles in every marine ecological process, hence the growing interest in studying their populations and functions. Microbial communities on algae …","https://link.springer.com/article/10.1007/s00253-014-5557-2","https://scholar.google.com/scholar?q=related:fw0-lVjFcbAJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
33,"SJ Horn, K Østgaard","Alginate lyase activity and acidogenesis during fermentation of Laminaria hyperborea",2001,"Journal of applied phycology","Springer","https://link.springer.com/article/10.1023/A:1011187526918","https://scholar.google.com/scholar?cites=5522175354986221024&as_sdt=2005&sciodt=2007&hl=en",100,"2024-02-07 13:53:53","","10.1023/A:1011187526918","","",,,,,33,1.43,17,2,23,"The initial hydrolysis and acidogenesis of L. hyperborea fronds wereinvestigated in anaerobic batch fermentations. The main product in theacidogenesis of fronds and fronds added …","https://link.springer.com/content/pdf/10.1023/a:1011187526918.pdf","https://scholar.google.com/scholar?q=related:4M1eRTq1okwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
15,"U Nitschke, S Dixneuf, M Schmid, AA Ruth, DB Stengel","Contribution of living and degrading kelp to coastal iodine fluxes",2015,"Marine biology","Springer","https://link.springer.com/article/10.1007/s00227-015-2699-4","https://scholar.google.com/scholar?cites=3501161175910011984&as_sdt=2005&sciodt=2007&hl=en",101,"2024-02-07 13:53:53","HTML","10.1007/s00227-015-2699-4","","",,,,,15,1.67,3,5,9,"Laminaria digitata forms locally extensive and ecologically important kelp beds in northern temperate regions. Its sporophytes retain large quantities of iodine which, when released into …","https://link.springer.com/article/10.1007/s00227-015-2699-4","https://scholar.google.com/scholar?q=related:UFSBH4qfljAJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
12,"VV Khalaman, AY Komendantov","Structure of fouling communities formed by Halichondria panicea (Porifera: Demospongiae) in the White Sea",2011,"Russian Journal of Ecology","Springer","https://link.springer.com/article/10.1134/S1067413611050080","https://scholar.google.com/scholar?cites=16399986094487237977&as_sdt=2005&sciodt=2007&hl=en",102,"2024-02-07 13:53:53","","10.1134/S1067413611050080","","",,,,,12,0.92,6,2,13,"The structure of fouling communities formed by the sponge Halichondria panicea in the White Sea is described. On artificial substrates exposed in the sea for a long time, this sponge …","https://link.springer.com/content/pdf/10.1134/S1067413611050080.pdf","https://scholar.google.com/scholar?q=related:WfVBS3Z0mOMJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
483,"L O'Sullivan, B Murphy, P McLoughlin, P Duggan…","Prebiotics from marine macroalgae for human and animal health applications",2010,"Marine drugs","mdpi.com","https://www.mdpi.com/1660-3397/8/7/2038","https://scholar.google.com/scholar?cites=16888798109769767889&as_sdt=2005&sciodt=2007&hl=en",103,"2024-02-07 13:53:53","","","","",,,,,483,34.50,97,5,14,"The marine environment is an untapped source of bioactive compounds. Specifically, marine macroalgae (seaweeds) are rich in polysaccharides that could potentially be exploited as …","https://www.mdpi.com/1660-3397/8/7/2038/pdf","https://scholar.google.com/scholar?q=related:0ZsdcGYQYeoJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
0,"A Migné, G Delebecq, D Davoult, N Spilmont, D Menu…","Photosynthetic activity and productivity of intertidal macroalgae: in situ measurements, from",,"academia.edu","","https://www.academia.edu/download/66455183/Mign_C3_A9_Photosynthetic.pdf","",104,"2024-02-07 13:53:53","PDF","","","",,,,,0,0.00,0,6,,"… For example, the carbon intake in the air was higher for the lower shore Saccharina latissima … Laminaria saccharina photosynthesis measured in situ: photoinhibition and xanthophyll …","https://www.academia.edu/download/66455183/Mign_C3_A9_Photosynthetic.pdf","https://scholar.google.com/scholar?q=related:cCVFeSs2KOUJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
32,"S Kawai, K Ohashi, S Yoshida, M Fujii, S Mikami…","Bacterial pyruvate production from alginate, a promising carbon source from marine brown macroalgae",2014,"Journal of bioscience …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1389172313003174","https://scholar.google.com/scholar?cites=15656557836530715765&as_sdt=2005&sciodt=2007&hl=en",105,"2024-02-07 13:53:53","","","","",,,,,32,3.20,5,6,10,"… for alginate utilization, PDC, ADH, and containing several deletions; this strain can produce 37 g/l ethanol from a mixture of mannitol and alginate derived from brown algae (kombu; …","https://repository.kulib.kyoto-u.ac.jp/dspace/bitstream/2433/182900/1/j.jbiosc.2013.08.016.pdf","https://scholar.google.com/scholar?q=related:dYzFe2ZER9kJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
66,"A Serebryakova, T Aires, F Viard, EA Serrao…","Summer shifts of bacterial communities associated with the invasive brown seaweed Sargassum muticum are location and tissue dependent",2018,"PLoS …","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0206734","https://scholar.google.com/scholar?cites=8395389063692135098&as_sdt=2005&sciodt=2007&hl=en",106,"2024-02-07 13:53:53","HTML","","","",,,,,66,11.00,13,5,6,"… For instance, Laminaria saccharina had specific bacteria within its young and undisturbed tissues regardless of seasonality or geographic location [24]. It still remains to be explored to …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0206734","https://scholar.google.com/scholar?q=related:uqqRbN9pgnQJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
147,"MM Bengtsson, K Sjøtun, A Lanzén, L Øvreås","Bacterial diversity in relation to secondary production and succession on surfaces of the kelp Laminaria hyperborea",2012,"The ISME journal","nature.com","https://www.nature.com/articles/ismej201267","https://scholar.google.com/scholar?cites=2571021096763875734&as_sdt=2005&sciodt=2007&hl=en",107,"2024-02-07 13:53:53","HTML","","","",,,,,147,12.25,37,4,12,"Kelp forests worldwide are known as hotspots for macroscopic biodiversity and primary production, yet very little is known about the biodiversity and roles of microorganisms in these …","https://www.nature.com/articles/ismej201267","https://scholar.google.com/scholar?q=related:lmGlzhAariMJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
44,"SS Hamid, M Wakayama, K Ichihara, K Sakurai…","Metabolome profiling of various seaweed species discriminates between brown, red, and green algae",2019,"Planta","Springer","https://link.springer.com/article/10.1007/s00425-019-03134-1","https://scholar.google.com/scholar?cites=4104627907194465275&as_sdt=2005&sciodt=2007&hl=en",108,"2024-02-07 13:53:53","HTML","10.1007/s00425-019-03134-1","","",,,,,44,8.80,9,5,5,"… kuromo (Kuromo), and Saccharina Japonica (Kombu), samples of five red algae species, … japonica (Kombu), b 5 species of red algae; P. pseudolinearis (Uppurui Nori), G. elegans (…","https://link.springer.com/article/10.1007/s00425-019-03134-1","https://scholar.google.com/scholar?q=related:-yt7l1WR9jgJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
116,"HU Dahms, S Dobretsov","Antifouling compounds from marine macroalgae",2017,"Marine Drugs","mdpi.com","https://www.mdpi.com/1660-3397/15/9/265","https://scholar.google.com/scholar?cites=12474113547239967086&as_sdt=2005&sciodt=2007&hl=en",109,"2024-02-07 13:53:53","","","","",,,,,116,16.57,58,2,7,"… In this study the investigators tested the polymeric replica of brown algae Saccharina latissima and Fucus guiryi doped with 3-bromo-5-(diphenulene)-2(5H)-furanone isolated from the …","https://www.mdpi.com/1660-3397/15/9/265/pdf","https://scholar.google.com/scholar?q=related:bkkgNy70HK0J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
70,"LT Carney, MS Edwards","Cryptic processes in the sea: a review of delayed development in the microscopic life stages of marine macroalgae",2006,"ALGAE-INCHON-","researchgate.net","https://www.researchgate.net/profile/Laura-Carney-4/publication/264068977_Cryptic_Processes_in_the_Sea_A_Review_of_Delayed_Development_in_theMicroscopic_Life_Stages_of_Marine_Macroalgae/links/55bae23e08aed621de0adae0/Cryptic-Processes-in-the-Sea-A-Review-of-Delayed-Development-in-theMicroscopic-Life-Stages-of-Marine-Macroalgae.pdf","https://scholar.google.com/scholar?cites=17866556184207351524&as_sdt=2005&sciodt=2007&hl=en",110,"2024-02-07 13:53:53","PDF","","","",,,,,70,3.89,35,2,18,"* Corresponding author (lcarney@ sciences. sdsu. edu) gae rely on banks of microscopic stages to survive periods of environmental stress and produce new macroscopic stages when …","https://www.researchgate.net/profile/Laura-Carney-4/publication/264068977_Cryptic_Processes_in_the_Sea_A_Review_of_Delayed_Development_in_theMicroscopic_Life_Stages_of_Marine_Macroalgae/links/55bae23e08aed621de0adae0/Cryptic-Processes-in-the-Sea-A-Review-of-Delayed-Development-in-theMicroscopic-Life-Stages-of-Marine-Macroalgae.pdf","https://scholar.google.com/scholar?q=related:5N48PzDC8vcJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
86,"L Chaudhary, P Pradhan, N Soni, P Singh…","Algae as a feedstock for bioethanol production: new entrance in biofuel world",2014,"Int. J. Chem. Technol …","researchgate.net","https://www.researchgate.net/profile/Nishant-Soni-10/publication/267752859_Algae_as_a_Feedstock_for_Bioethanol_Production_New_Entrance_in_Biofuel_World/links/63597ac36e0d367d91cc4348/Algae-as-a-Feedstock-for-Bioethanol-Production-New-Entrance-in-Biofuel-World.pdf","https://scholar.google.com/scholar?cites=5707484616880423383&as_sdt=2005&sciodt=2007&hl=en",111,"2024-02-07 13:53:53","PDF","","","",,,,,86,8.60,17,5,10,"… Adams JM, Gallagher JA, Donnison IS., Fermentation study on Saccharina latissima for bioethanol production considering variable pre-treatments, Journal of applied Phycology, 2009,…","https://www.researchgate.net/profile/Nishant-Soni-10/publication/267752859_Algae_as_a_Feedstock_for_Bioethanol_Production_New_Entrance_in_Biofuel_World/links/63597ac36e0d367d91cc4348/Algae-as-a-Feedstock-for-Bioethanol-Production-New-Entrance-in-Biofuel-World.pdf","https://scholar.google.com/scholar?q=related:1wEq_gQPNU8J:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
68,"S Mutripah, MDN Meinita, JY Kang, GT Jeong…","Bioethanol production from the hydrolysate of Palmaria palmata using sulfuric acid and fermentation with brewer's yeast",2014,"Journal of applied …","Springer","https://link.springer.com/article/10.1007/s10811-013-0068-6","https://scholar.google.com/scholar?cites=5963113245951810768&as_sdt=2005&sciodt=2007&hl=en",112,"2024-02-07 13:53:53","HTML","10.1007/s10811-013-0068-6","","",,,,,68,6.80,14,5,10,"Seaweeds, particularly species of red macroalgae, are promising resources for bioethanol production because of their exceptionally high carbohydrate content. Of 20 seaweeds …","https://link.springer.com/article/10.1007/s10811-013-0068-6","https://scholar.google.com/scholar?q=related:0FxiPOc7wVIJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
32,"LK Sauchyn, JS Lauzon-Guay, RE Scheibling","Sea urchin fecal production and accumulation in a rocky subtidal ecosystem",2011,"Aquatic Biology","int-res.com","https://www.int-res.com/abstracts/ab/v13/n3/p215-223/","https://scholar.google.com/scholar?cites=5522858380679543287&as_sdt=2005&sciodt=2007&hl=en",113,"2024-02-07 13:53:53","","","","",,,,,32,2.46,11,3,13,"We used a spatial model of destructive grazing of kelp beds by dense aggregations (fronts) of sea urchins Strongylocentrotus droebachiensis, together with measures of sea urchin …","https://www.int-res.com/articles/ab2011/13/b013p215.pdf","https://scholar.google.com/scholar?q=related:93kxlW8ipUwJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
159,"JA Coyer, GJ Smith, RA Andersen","EVOLUTION OF MACROCYSTIS SPP. (PHAEOPHYCEAE) AS DETERMINED BY ITS1 AND ITS2 SEQUENCES1,",2001,"Journal of Phycology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1529-8817.2001.037001574.x","https://scholar.google.com/scholar?cites=3814351939658568396&as_sdt=2005&sciodt=2007&hl=en",114,"2024-02-07 13:53:53","","10.1046/j.1529-8817.2001.037001574.x","","",,,,,159,6.91,53,3,23,"Macrocystis (Lessoniaceae) displays an antitropical distribution, occurring in temperate subtidal regions along western North America in the northern hemisphere and throughout the …","https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1529-8817.2001.037001574.x","https://scholar.google.com/scholar?q=related:zNKrO-FM7zQJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
18,"VV Menon","Seaweed polysaccharides–food applications",2011,"Handbook of marine macroalgae","Wiley Online Library","https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119977087#page=556","https://scholar.google.com/scholar?cites=18124989607196175502&as_sdt=2005&sciodt=2007&hl=en",115,"2024-02-07 13:53:53","","10.1002/9781119977087","","",,,,,18,1.38,18,1,13,"Development of food products to satisfy consumer interests depends on appropriate uses of various ingredients at required levels to impart proper texture and flavor as well as storage …","https://www.researchgate.net/profile/V-Menon/publication/285204093_Seaweed_Polysaccharides_-_Food_Applications/links/6007c5bc299bf14088aa6d43/Seaweed-Polysaccharides-Food-Applications.pdf","https://scholar.google.com/scholar?q=related:jiyTdgTmiPsJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
84,"U Karsten, A Wulff, MY Roleda, R Müller, FS Steinhoff…","Physiological responses of polar benthic algae to ultraviolet radiation",2009,"","degruyter.com","https://www.degruyter.com/document/doi/10.1515/BOT.2009.077/html","https://scholar.google.com/scholar?cites=9275608303099557441&as_sdt=2005&sciodt=2007&hl=en",116,"2024-02-07 13:53:53","","10.1515/BOT.2009.077","","",,,,,84,5.60,14,6,15,"Stratospheric ozone depletion and the concomitant increase in ultraviolet (UV) B radiation at the earth's surface represent major threats to polar marine ecosystems. Whereas in coastal …","https://www.academia.edu/download/46078588/Physiological_responses_of_polar_benthic20160530-13405-1egxxes.pdf","https://scholar.google.com/scholar?q=related:QbbpfZuUuYAJ:scholar.google.com/&scioq=%22saccharina+latissima%22%7C%22s+latissima%22%7C%22s+longicruris%22%7C%22saccharina+longicruris%22%7C%22laminaria+saccharina%22%7C%22l+saccharina%22%7C%22sugar+kelp%22%7C%22sea+belt%22%7C%22kombu%22%7C%22devil%27s+apron%22+%22bacter*%22%7C%22microb*%22%7C%22holob*%22%7C%22symbio*%22&hl=en&as_sdt=2007&as_yhi=2019"
